(T) | Epoch=080, loss=8.0227, con=7.2822, intent=2.4139, rec=0.0107, ilssc=5.0454, il_q=8, il_seed=0.985, il_sim=0.580, il_conn=0.003, il_uniq=8.0, il_neg=0.437, this epoch 0.6819, total 57.6550  alpha=[pap:0.808, psp:0.192]
(T) | Epoch=081, loss=7.9910, con=7.2359, intent=2.4115, rec=0.0113, ilssc=5.1999, il_q=8, il_seed=0.986, il_sim=0.599, il_conn=0.019, il_uniq=8.0, il_neg=0.538, this epoch 0.7413, total 58.3963
(T) | Epoch=082, loss=7.9620, con=7.2252, intent=2.4089, rec=0.0134, ilssc=5.0288, il_q=8, il_seed=0.986, il_sim=0.664, il_conn=0.005, il_uniq=8.0, il_neg=0.515, this epoch 0.6822, total 59.0785
(T) | Epoch=083, loss=7.9515, con=7.2214, intent=2.4066, rec=0.0140, ilssc=4.9709, il_q=8, il_seed=0.986, il_sim=0.621, il_conn=0.003, il_uniq=8.0, il_neg=0.452, this epoch 0.6997, total 59.7782
(T) | Epoch=084, loss=7.9481, con=7.2243, intent=2.4042, rec=0.0155, ilssc=4.9126, il_q=8, il_seed=0.988, il_sim=0.639, il_conn=0.003, il_uniq=8.0, il_neg=0.425, this epoch 0.6777, total 60.4558
(T) | Epoch=085, loss=8.0056, con=7.2682, intent=2.4025, rec=0.0103, ilssc=5.0564, il_q=8, il_seed=0.988, il_sim=0.586, il_conn=0.003, il_uniq=8.0, il_neg=0.457, this epoch 0.6824, total 61.1383
(T) | Epoch=086, loss=8.0281, con=7.3130, intent=2.4000, rec=0.0137, ilssc=4.8291, il_q=8, il_seed=0.989, il_sim=0.737, il_conn=0.001, il_uniq=8.0, il_neg=0.489, this epoch 0.6761, total 61.8144
(T) | Epoch=087, loss=7.9989, con=7.2671, intent=2.3984, rec=0.0164, ilssc=4.9922, il_q=8, il_seed=0.989, il_sim=0.624, il_conn=0.002, il_uniq=8.0, il_neg=0.450, this epoch 0.6795, total 62.4939
(T) | Epoch=088, loss=7.9259, con=7.2008, intent=2.3976, rec=0.0200, ilssc=4.9170, il_q=8, il_seed=0.989, il_sim=0.566, il_conn=0.003, il_uniq=8.0, il_neg=0.390, this epoch 0.6828, total 63.1767
(T) | Epoch=089, loss=8.0026, con=7.2746, intent=2.3970, rec=0.0199, ilssc=4.9392, il_q=8, il_seed=0.989, il_sim=0.686, il_conn=0.002, il_uniq=8.0, il_neg=0.495, this epoch 0.6769, total 63.8536
(T) | Epoch=090, loss=8.0136, con=7.2604, intent=2.3952, rec=0.0276, ilssc=5.1946, il_q=8, il_seed=0.988, il_sim=0.469, il_conn=0.024, il_uniq=8.0, il_neg=0.411, this epoch 0.6806, total 64.5342  alpha=[pap:0.421, psp:0.579]
(T) | Epoch=091, loss=7.9991, con=7.2601, intent=2.3930, rec=0.0227, ilssc=5.0661, il_q=8, il_seed=0.989, il_sim=0.619, il_conn=0.004, il_uniq=8.0, il_neg=0.486, this epoch 0.6955, total 65.2297
(T) | Epoch=092, loss=8.1502, con=7.4090, intent=2.3925, rec=0.0207, ilssc=5.0840, il_q=8, il_seed=0.990, il_sim=0.614, il_conn=0.010, il_uniq=8.0, il_neg=0.496, this epoch 0.6964, total 65.9261
(T) | Epoch=093, loss=8.1993, con=7.4645, intent=2.3917, rec=0.0209, ilssc=5.0078, il_q=8, il_seed=0.989, il_sim=0.637, il_conn=0.003, il_uniq=8.0, il_neg=0.479, this epoch 0.6841, total 66.6102
(T) | Epoch=094, loss=8.0522, con=7.3140, intent=2.3913, rec=0.0152, ilssc=5.0510, il_q=8, il_seed=0.989, il_sim=0.584, il_conn=0.010, il_uniq=8.0, il_neg=0.450, this epoch 0.6837, total 67.2938
(T) | Epoch=095, loss=7.8897, con=7.1713, intent=2.3907, rec=0.0180, ilssc=4.8608, il_q=8, il_seed=0.990, il_sim=0.664, il_conn=0.001, il_uniq=8.0, il_neg=0.431, this epoch 0.6960, total 67.9898
(T) | Epoch=096, loss=8.0608, con=7.3096, intent=2.3904, rec=0.0198, ilssc=5.1954, il_q=8, il_seed=0.989, il_sim=0.558, il_conn=0.015, il_uniq=8.0, il_neg=0.510, this epoch 0.6939, total 68.6837
