[log] 运行日志写入: log\run_ACM_20260718_071845.log
Using CPU
Using CPU
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
[IGQC] 全量图邻接表就绪, lambda=0.5, pos=20 neg=512 B=8 gate=True
(T) | Epoch=095, loss=11.2847, con=7.5958, intent=2.3334, rec=0.0168, igqc=5.8226, this epoch 140.5432, total 12764.2095
(T) | Epoch=096, loss=11.1137, con=7.5787, intent=2.3324, rec=0.0180, igqc=5.5113, this epoch 130.3742, total 12894.5838
(T) | Epoch=097, loss=11.2985, con=7.5150, intent=2.3314, rec=0.0193, igqc=6.0025, this epoch 136.0790, total 13030.6628
(T) | Epoch=098, loss=11.1016, con=7.4484, intent=2.3303, rec=0.0228, igqc=5.7364, this epoch 128.5187, total 13159.1814
(T) | Epoch=099, loss=11.0267, con=7.3861, intent=2.3287, rec=0.0209, igqc=5.7060, this epoch 136.5095, total 13295.6910
(T) | Epoch=100, loss=11.1014, con=7.3630, intent=2.3274, rec=0.0250, igqc=5.8983, this epoch 135.4241, total 13431.1151  alpha=[pap:0.898, psp:0.102]
(T) | Epoch=101, loss=10.9306, con=7.3906, intent=2.3264, rec=0.0205, igqc=5.5043, this epoch 134.0092, total 13565.1244
(T) | Epoch=102, loss=10.9988, con=7.4259, intent=2.3241, rec=0.0255, igqc=5.5721, this epoch 134.1051, total 13699.2295
(T) | Epoch=103, loss=11.0272, con=7.4348, intent=2.3227, rec=0.0303, igqc=5.6103, this epoch 130.6274, total 13829.8568
(T) | Epoch=104, loss=11.0321, con=7.4297, intent=2.3214, rec=0.0330, igqc=5.6273, this epoch 138.0109, total 13967.8678
(T) | Epoch=105, loss=11.0678, con=7.4166, intent=2.3208, rec=0.0289, igqc=5.7206, this epoch 131.4248, total 14099.2926
(T) | Epoch=106, loss=10.9493, con=7.4002, intent=2.3203, rec=0.0181, igqc=5.5098, this epoch 133.7478, total 14233.0404
(T) | Epoch=107, loss=11.0458, con=7.3917, intent=2.3199, rec=0.0197, igqc=5.7070, this epoch 130.4514, total 14363.4918
(T) | Epoch=108, loss=11.1376, con=7.4176, intent=2.3187, rec=0.0165, igqc=5.8371, this epoch 133.6573, total 14497.1491
(T) | Epoch=109, loss=11.2127, con=7.4389, intent=2.3169, rec=0.0209, igqc=5.9544, this epoch 132.6126, total 14629.7616
(T) | Epoch=110, loss=11.2213, con=7.4608, intent=2.3173, rec=0.0234, igqc=5.9428, this epoch 131.7486, total 14761.5102  alpha=[pap:0.883, psp:0.117]
(T) | Epoch=111, loss=11.0765, con=7.4917, intent=2.3166, rec=0.0314, igqc=5.6044, this epoch 133.6818, total 14895.1921
(T) | Epoch=112, loss=11.0878, con=7.5204, intent=2.3166, rec=0.0364, igqc=5.5769, this epoch 136.4369, total 15031.6289
(T) | Epoch=113, loss=11.2840, con=7.5206, intent=2.3164, rec=0.0399, igqc=5.9695, this epoch 133.8386, total 15165.4675
(T) | Epoch=114, loss=11.2893, con=7.4937, intent=2.3132, rec=0.0228, igqc=6.0370, this epoch 134.4661, total 15299.9336
(T) | Epoch=115, loss=11.2186, con=7.4515, intent=2.3092, rec=0.0215, igqc=5.9808, this epoch 130.1189, total 15430.0525
(T) | Epoch=116, loss=10.9997, con=7.4388, intent=2.3073, rec=0.0211, igqc=5.5712, this epoch 128.7093, total 15558.7618
(T) | Epoch=117, loss=11.1807, con=7.4704, intent=2.3065, rec=0.0184, igqc=5.8686, this epoch 131.1342, total 15689.8959
(T) | Epoch=118, loss=10.8741, con=7.4837, intent=2.3071, rec=0.0222, igqc=5.2276, this epoch 133.6229, total 15823.5188
(T) | Epoch=119, loss=10.8950, con=7.4463, intent=2.3062, rec=0.0218, igqc=5.3448, this epoch 129.5989, total 15953.1177
(T) | Epoch=120, loss=11.0477, con=7.4028, intent=2.3074, rec=0.0226, igqc=5.7381, this epoch 126.1105, total 16079.2282  alpha=[pap:0.830, psp:0.170]
(T) | Epoch=121, loss=11.0465, con=7.4282, intent=2.3047, rec=0.0270, igqc=5.6970, this epoch 137.2467, total 16216.4749
(T) | Epoch=122, loss=10.9252, con=7.5119, intent=2.3016, rec=0.0274, igqc=5.2940, this epoch 134.0978, total 16350.5727
(T) | Epoch=123, loss=11.3502, con=7.5846, intent=2.2998, rec=0.0266, igqc=6.0027, this epoch 128.6566, total 16479.2293
(T) | Epoch=124, loss=11.3245, con=7.5942, intent=2.2993, rec=0.0274, igqc=5.9303, this epoch 128.5995, total 16607.8287
(T) | Epoch=125, loss=11.4048, con=7.5436, intent=2.3016, rec=0.0258, igqc=6.1894, this epoch 135.6049, total 16743.4336
