[log] 运行日志写入: log\run_ACM_20260714_095128.log
Using CPU
Using CPU
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=108, loss=8.0500, con=7.2442, intent=2.3145, rec=0.0131, this epoch 164.7146, total 15560.2700
(T) | Epoch=109, loss=8.0019, con=7.1984, intent=2.3126, rec=0.0113, this epoch 173.3301, total 15733.6001
(T) | Epoch=110, loss=8.1466, con=7.3490, intent=2.3114, rec=0.0105, this epoch 175.9090, total 15909.5091  alpha=[pap:0.885, psp:0.115]
(T) | Epoch=111, loss=8.2879, con=7.4960, intent=2.3101, rec=0.0109, this epoch 166.9127, total 16076.4217
(T) | Epoch=112, loss=8.2973, con=7.5076, intent=2.3088, rec=0.0106, this epoch 168.8638, total 16245.2856
(T) | Epoch=113, loss=8.1833, con=7.3916, intent=2.3075, rec=0.0126, this epoch 195.4900, total 16440.7756
(T) | Epoch=114, loss=8.0477, con=7.2514, intent=2.3072, rec=0.0120, this epoch 170.7957, total 16611.5713
(T) | Epoch=115, loss=8.0193, con=7.2192, intent=2.3063, rec=0.0124, this epoch 163.9544, total 16775.5257
(T) | Epoch=116, loss=8.0613, con=7.2599, intent=2.3058, rec=0.0127, this epoch 162.1534, total 16937.6791
(T) | Epoch=117, loss=8.0713, con=7.2699, intent=2.3048, rec=0.0119, this epoch 195.8601, total 17133.5392
(T) | Epoch=118, loss=8.0552, con=7.2555, intent=2.3036, rec=0.0115, this epoch 178.1970, total 17311.7362
(T) | Epoch=119, loss=8.0758, con=7.2796, intent=2.3038, rec=0.0125, this epoch 176.1060, total 17487.8422
(T) | Epoch=120, loss=8.1308, con=7.3387, intent=2.3015, rec=0.0137, this epoch 141.8854, total 17629.7276  alpha=[pap:0.886, psp:0.114]
(T) | Epoch=121, loss=8.1697, con=7.3817, intent=2.3007, rec=0.0142, this epoch 154.4671, total 17784.1947
(T) | Epoch=122, loss=8.1670, con=7.3809, intent=2.2993, rec=0.0141, this epoch 146.8093, total 17931.0040
(T) | Epoch=123, loss=8.1311, con=7.3452, intent=2.2982, rec=0.0139, this epoch 199.6622, total 18130.6662
(T) | Epoch=124, loss=8.0906, con=7.3037, intent=2.2962, rec=0.0142, this epoch 167.8838, total 18298.5500
(T) | Epoch=125, loss=8.0784, con=7.2900, intent=2.2949, rec=0.0124, this epoch 186.1325, total 18484.6825
(T) | Epoch=126, loss=8.0934, con=7.3029, intent=2.2946, rec=0.0131, this epoch 170.4456, total 18655.1281
(T) | Epoch=127, loss=8.0943, con=7.3024, intent=2.2930, rec=0.0121, this epoch 170.9459, total 18826.0740
(T) | Epoch=128, loss=8.0558, con=7.2619, intent=2.2914, rec=0.0122, this epoch 177.1267, total 19003.2007
(T) | Epoch=129, loss=8.0046, con=7.2095, intent=2.2896, rec=0.0111, this epoch 167.6203, total 19170.8209
(T) | Epoch=130, loss=8.0049, con=7.2094, intent=2.2899, rec=0.0109, this epoch 174.4988, total 19345.3197  alpha=[pap:0.866, psp:0.134]
(T) | Epoch=131, loss=8.0353, con=7.2410, intent=2.2913, rec=0.0098, this epoch 158.4906, total 19503.8103
(T) | Epoch=132, loss=8.0359, con=7.2423, intent=2.2929, rec=0.0091, this epoch 187.0395, total 19690.8499
(T) | Epoch=133, loss=8.0340, con=7.2416, intent=2.2920, rec=0.0117, this epoch 179.2891, total 19870.1390
(T) | Epoch=134, loss=8.0739, con=7.2828, intent=2.2918, rec=0.0124, this epoch 181.7209, total 20051.8599
(T) | Epoch=135, loss=8.0859, con=7.2952, intent=2.2918, rec=0.0125, this epoch 168.8774, total 20220.7373
(T) | Epoch=136, loss=8.0426, con=7.2520, intent=2.2905, rec=0.0123, this epoch 168.6998, total 20389.4371
