(T) | Epoch=047, loss=7.2858, con=6.6131, intent=2.4155, rec=0.0004, ilssc=4.4999, il_lam=0.1000, il_q=8, il_seed=0.986, il_sim=0.337, il_conn=0.000, il_dist=0.000, il_high=0.806, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.044, il_neg_dist=0.000, il_neg_high=0.483, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.8420, total 123.7333
(T) | Epoch=048, loss=7.3039, con=6.6108, intent=2.4171, rec=0.0004, ilssc=4.7027, il_lam=0.1000, il_q=8, il_seed=0.983, il_sim=0.310, il_conn=0.000, il_dist=0.000, il_high=0.743, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.095, il_neg_dist=0.000, il_neg_high=0.381, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7556, total 126.4889
(T) | Epoch=049, loss=7.2773, con=6.6060, intent=2.4105, rec=0.0004, ilssc=4.4932, il_lam=0.1000, il_q=8, il_seed=0.986, il_sim=0.327, il_conn=0.000, il_dist=0.000, il_high=0.765, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.056, il_neg_dist=0.000, il_neg_high=0.410, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.7279, total 129.2168
(T) | Epoch=050, loss=7.2822, con=6.6033, intent=2.4103, rec=0.0005, ilssc=4.5708, il_lam=0.1000, il_q=8, il_seed=0.988, il_sim=0.334, il_conn=0.000, il_dist=0.000, il_high=0.788, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.061, il_neg_dist=0.000, il_neg_high=0.470, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.2530, total 132.4698  alpha=[apa:0.187, apcpa:0.421, aptpa:0.392]
(T) | Epoch=051, loss=7.2919, con=6.6040, intent=2.4076, rec=0.0006, ilssc=4.6633, il_lam=0.1000, il_q=8, il_seed=0.985, il_sim=0.308, il_conn=0.000, il_dist=0.000, il_high=0.780, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.074, il_neg_dist=0.000, il_neg_high=0.420, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.0325, total 135.5023
(T) | Epoch=052, loss=7.2944, con=6.6071, intent=2.4062, rec=0.0006, ilssc=4.6595, il_lam=0.1000, il_q=8, il_seed=0.987, il_sim=0.300, il_conn=0.001, il_dist=0.000, il_high=0.781, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.058, il_neg_dist=0.000, il_neg_high=0.392, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.5881, total 138.0904
(T) | Epoch=053, loss=7.2730, con=6.6083, intent=2.4054, rec=0.0006, ilssc=4.4347, il_lam=0.1000, il_q=8, il_seed=0.987, il_sim=0.352, il_conn=0.000, il_dist=0.000, il_high=0.817, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.042, il_neg_dist=0.000, il_neg_high=0.449, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 2.6215, total 140.7119
(T) | Epoch=054, loss=7.2839, con=6.6067, intent=2.4038, rec=0.0006, ilssc=4.5610, il_lam=0.1000, il_q=8, il_seed=0.987, il_sim=0.368, il_conn=0.001, il_dist=0.000, il_high=0.779, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.077, il_neg_dist=0.000, il_neg_high=0.401, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.1306, total 143.8424
(T) | Epoch=055, loss=7.2822, con=6.6044, intent=2.4034, rec=0.0007, ilssc=4.5670, il_lam=0.1000, il_q=8, il_seed=0.987, il_sim=0.338, il_conn=0.001, il_dist=0.000, il_high=0.776, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.071, il_neg_dist=0.000, il_neg_high=0.421, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.2350, total 147.0774
(T) | Epoch=056, loss=7.2944, con=6.6036, intent=2.4012, rec=0.0005, ilssc=4.6984, il_lam=0.1000, il_q=8, il_seed=0.986, il_sim=0.282, il_conn=0.000, il_dist=0.000, il_high=0.739, il_conf_q=0.000, il_conf_seed=0.000, il_gate_seed=1.000, il_uniq=8.0, il_neg=0.076, il_neg_dist=0.000, il_neg_high=0.436, il_conf_neg=0.000, il_gate_neg=1.000, id_upd=0, this epoch 3.0954, total 150.1728
